
finished episode 100, last recorded reward: -7.712917001898417
finished episode 200, last recorded reward: -7.978016866492527
finished episode 300, last recorded reward: -3.969401443866932
finished episode 400, last recorded reward: -8.481367686288488
finished episode 500, last recorded reward: -2.049483657061826
finished episode 600, last recorded reward: -0.7631439162635467
finished episode 700, last recorded reward: -2.915630774189765
finished episode 800, last recorded reward: -11.294527042479457
finished episode 900, last recorded reward: -11.294527042479457
finished episode 1000, last recorded reward: -2.049483657061826
finished episode 1100, last recorded reward: -2.915630774189765
finished episode 1200, last recorded reward: -11.294527042479457
finished episode 1300, last recorded reward: -1.5450651265299487
finished episode 1400, last recorded reward: -2.915630774189765
finished episode 1500, last recorded reward: -4.542371025907311
finished episode 1600, last recorded reward: -2.915630774189765
finished episode 1700, last recorded reward: -1.3960800064731242
finished episode 1800, last recorded reward: -11.294527042479457
finished episode 1900, last recorded reward: -8.801662882748127
finished episode 2000, last recorded reward: -2.915630774189765
finished episode 2100, last recorded reward: -5.842370226495692
finished episode 2200, last recorded reward: -1.3960800064731242
finished episode 2300, last recorded reward: -2.915630774189765
finished episode 2400, last recorded reward: -1.5450651265299487
finished episode 2500, last recorded reward: -1.3960800064731242
finished episode 2600, last recorded reward: -8.460417319436809
finished episode 2700, last recorded reward: -8.801662882748127
finished episode 2800, last recorded reward: -2.6098202182906953
finished episode 2900, last recorded reward: -8.460417319436809
finished episode 3000, last recorded reward: -2.049483657061826
finished episode 3100, last recorded reward: -7.978016866492527
finished episode 3200, last recorded reward: -0.9787926214771187
finished episode 3300, last recorded reward: -8.801662882748127
finished episode 3400, last recorded reward: -6.3082062136745245
finished episode 3500, last recorded reward: -7.023035587957933
finished episode 3600, last recorded reward: -7.023035587957933
finished episode 3700, last recorded reward: -3.7404845829197093
finished episode 3800, last recorded reward: -2.347954353026079
finished episode 3900, last recorded reward: -4.406842815544389
finished episode 4000, last recorded reward: -7.023035587957933
finished episode 4100, last recorded reward: -4.0897004589545265
finished episode 4200, last recorded reward: -4.0897004589545265
finished episode 4300, last recorded reward: -1.449473548673927
finished episode 4400, last recorded reward: -1.1510342169053556
finished episode 4500, last recorded reward: -2.3451368508987707
finished episode 4600, last recorded reward: -0.8064602578033342
finished episode 4700, last recorded reward: -0.8064602578033342
finished episode 4800, last recorded reward: -1.1997849014004114
finished episode 4900, last recorded reward: -0.8064602578033342
finished episode 5000, last recorded reward: -0.3893712005209432
finished episode 5100, last recorded reward: -6.810918664351867
finished episode 5200, last recorded reward: -0.3893712005209432
finished episode 5300, last recorded reward: -0.062124354473007126
finished episode 5400, last recorded reward: -2.3451368508987707
finished episode 5500, last recorded reward: -0.15079688787696277
finished episode 5600, last recorded reward: -0.3803939527500877
finished episode 5700, last recorded reward: -0.15079688787696277
finished episode 5800, last recorded reward: -0.062124354473007126
finished episode 5900, last recorded reward: -0.3803939527500877
finished episode 6000, last recorded reward: -0.3803939527500877
finished episode 6100, last recorded reward: -0.3893712005209432
finished episode 6200, last recorded reward: -0.3803939527500877
finished episode 6300, last recorded reward: -0.3803939527500877
finished episode 6400, last recorded reward: -0.3893712005209432
finished episode 6500, last recorded reward: -0.3893712005209432
finished episode 6600, last recorded reward: -0.062124354473007126
finished episode 6700, last recorded reward: -0.3803939527500877
finished episode 6800, last recorded reward: -0.3893712005209432
finished episode 6900, last recorded reward: -0.062124354473007126
finished episode 7000, last recorded reward: -0.062124354473007126
finished episode 7100, last recorded reward: -0.15079688787696277
finished episode 7200, last recorded reward: -0.3893712005209432
finished episode 7300, last recorded reward: -0.3803939527500877
finished episode 7400, last recorded reward: -0.5100395039020383
finished episode 7500, last recorded reward: -0.5100395039020383
finished episode 7600, last recorded reward: -0.8064602578033342
finished episode 7700, last recorded reward: -0.3893712005209432
finished episode 7800, last recorded reward: -0.3803939527500877
finished episode 7900, last recorded reward: -0.15079688787696277
finished episode 8000, last recorded reward: -0.3893712005209432
finished episode 8100, last recorded reward: -0.3803939527500877
finished episode 8200, last recorded reward: -0.3893712005209432
finished episode 8300, last recorded reward: -0.3803939527500877
finished episode 8400, last recorded reward: -0.3893712005209432
finished episode 8500, last recorded reward: -0.3893712005209432
finished episode 8600, last recorded reward: -0.062124354473007126
finished episode 8700, last recorded reward: -0.062124354473007126
finished episode 8800, last recorded reward: -0.5100395039020383
finished episode 8900, last recorded reward: -0.5100395039020383
finished episode 9000, last recorded reward: -0.895527282430692
finished episode 9100, last recorded reward: -0.3803939527500877
finished episode 9200, last recorded reward: -0.3893712005209432
finished episode 9300, last recorded reward: -0.15079688787696277
finished episode 9400, last recorded reward: -0.062124354473007126
finished episode 9500, last recorded reward: -0.062124354473007126
finished episode 9600, last recorded reward: -0.5100395039020383
finished episode 9700, last recorded reward: -0.5100395039020383
finished episode 9800, last recorded reward: -0.3803939527500877
finished episode 9900, last recorded reward: -0.15079688787696277
finished episode 10000, last recorded reward: -0.15079688787696277
finished episode 10100, last recorded reward: -0.895527282430692
finished episode 10200, last recorded reward: -0.062124354473007126
finished episode 10300, last recorded reward: -0.3803939527500877
finished episode 10400, last recorded reward: -0.3803939527500877
finished episode 10500, last recorded reward: -0.3803939527500877
finished episode 10600, last recorded reward: -0.062124354473007126
finished episode 10700, last recorded reward: -0.3803939527500877
finished episode 10800, last recorded reward: -0.062124354473007126
finished episode 10900, last recorded reward: -0.5100395039020383
finished episode 11000, last recorded reward: -0.3893712005209432
finished episode 11100, last recorded reward: -0.3893712005209432
finished episode 11200, last recorded reward: -0.3893712005209432
finished episode 11300, last recorded reward: -0.5100395039020383
finished episode 11400, last recorded reward: -0.3803939527500877
finished episode 11500, last recorded reward: -0.15079688787696277
finished episode 11600, last recorded reward: -0.8064602578033342
finished episode 11700, last recorded reward: -0.3893712005209432
finished episode 11800, last recorded reward: -0.895527282430692
finished episode 11900, last recorded reward: -0.15079688787696277
finished episode 12000, last recorded reward: -0.3893712005209432
finished episode 12100, last recorded reward: -0.3893712005209432
finished episode 12200, last recorded reward: -0.062124354473007126
finished episode 12300, last recorded reward: -0.5100395039020383
finished episode 12400, last recorded reward: -0.5100395039020383
finished episode 12500, last recorded reward: -0.3803939527500877
finished episode 12600, last recorded reward: -0.3893712005209432
finished episode 12700, last recorded reward: -0.3893712005209432
finished episode 12800, last recorded reward: -0.3803939527500877
finished episode 12900, last recorded reward: -0.3803939527500877
finished episode 13000, last recorded reward: -0.3803939527500877
finished episode 13100, last recorded reward: -0.3803939527500877
finished episode 13200, last recorded reward: -0.3893712005209432
finished episode 13300, last recorded reward: -0.07522619684229181
finished episode 13400, last recorded reward: -0.062124354473007126
finished episode 13500, last recorded reward: -0.062124354473007126
finished episode 13600, last recorded reward: -0.5100395039020383
finished episode 13700, last recorded reward: -0.3893712005209432
finished episode 13800, last recorded reward: -0.8064602578033342
finished episode 13900, last recorded reward: -0.3893712005209432
finished episode 14000, last recorded reward: -0.3893712005209432
finished episode 14100, last recorded reward: -0.062124354473007126
finished episode 14200, last recorded reward: -0.3803939527500877
finished episode 14300, last recorded reward: -0.15079688787696277
finished episode 14400, last recorded reward: -0.3893712005209432
finished episode 14500, last recorded reward: -0.15079688787696277
finished episode 14600, last recorded reward: -0.3803939527500877
finished episode 14700, last recorded reward: -0.3803939527500877
finished episode 14800, last recorded reward: -0.3803939527500877
finished episode 14900, last recorded reward: -0.15079688787696277
finished episode 15000, last recorded reward: -0.07522619684229181
finished episode 15100, last recorded reward: -0.3893712005209432
finished episode 15200, last recorded reward: -0.5100395039020383
finished episode 15300, last recorded reward: -0.3893712005209432
finished episode 15400, last recorded reward: -0.8064602578033342
finished episode 15500, last recorded reward: -0.5100395039020383
finished episode 15600, last recorded reward: -0.3803939527500877
finished episode 15700, last recorded reward: -0.3803939527500877
finished episode 15800, last recorded reward: -0.062124354473007126
finished episode 15900, last recorded reward: -0.3893712005209432
finished episode 16000, last recorded reward: -0.3893712005209432
finished episode 16100, last recorded reward: -0.8064602578033342
finished episode 16200, last recorded reward: -0.3803939527500877
finished episode 16300, last recorded reward: -0.5100395039020383
finished episode 16400, last recorded reward: -0.3803939527500877
finished episode 16500, last recorded reward: -0.062124354473007126
finished episode 16600, last recorded reward: -0.15079688787696277
finished episode 16700, last recorded reward: -0.15079688787696277
finished episode 16800, last recorded reward: -0.5100395039020383
finished episode 16900, last recorded reward: -0.062124354473007126
finished episode 17000, last recorded reward: -0.062124354473007126
finished episode 17100, last recorded reward: -0.062124354473007126
finished episode 17200, last recorded reward: -0.062124354473007126
finished episode 17300, last recorded reward: -0.15079688787696277
finished episode 17400, last recorded reward: -0.3803939527500877
finished episode 17500, last recorded reward: -0.062124354473007126
finished episode 17600, last recorded reward: -0.5100395039020383
finished episode 17700, last recorded reward: -0.3803939527500877
finished episode 17800, last recorded reward: -0.062124354473007126
