
finished episode 100, last recorded reward: 1510.9041232070524, last action : 17
finished episode 200, last recorded reward: 1754.2314417902237, last action : 24
finished episode 300, last recorded reward: 671.8511553865513, last action : 91
finished episode 400, last recorded reward: 573.6678821749839, last action : 3
finished episode 500, last recorded reward: 1105.351784222627, last action : 11
finished episode 600, last recorded reward: 329.46564528888086, last action : 4
finished episode 700, last recorded reward: 584.4225018637936, last action : 7
finished episode 800, last recorded reward: 2015.6719273457074, last action : 27
finished episode 900, last recorded reward: 2108.741596272478, last action : 28
finished episode 1000, last recorded reward: 873.3809567663402, last action : 9
finished episode 1100, last recorded reward: 496.87148049614524, last action : 2
finished episode 1200, last recorded reward: 496.87148049614524, last action : 2
finished episode 1300, last recorded reward: 244.40197587613739, last action : 0
finished episode 1400, last recorded reward: 1134.42901785514, last action : 10
finished episode 1500, last recorded reward: 1134.42901785514, last action : 10
finished episode 1600, last recorded reward: 743.7149316104513, last action : 8
finished episode 1700, last recorded reward: 329.46564528888086, last action : 4
finished episode 1800, last recorded reward: 573.6678821749839, last action : 3
finished episode 1900, last recorded reward: 345.7233422383473, last action : 5
finished episode 2000, last recorded reward: 573.6678821749839, last action : 3
finished episode 2100, last recorded reward: 573.6678821749839, last action : 3
finished episode 2200, last recorded reward: 496.87148049614524, last action : 2
finished episode 2300, last recorded reward: 573.6678821749839, last action : 3
finished episode 2400, last recorded reward: 1754.2314417902237, last action : 24
finished episode 2500, last recorded reward: 1105.351784222627, last action : 11
finished episode 2600, last recorded reward: 345.7233422383473, last action : 5
finished episode 2700, last recorded reward: 1510.9041232070524, last action : 17
finished episode 2800, last recorded reward: 573.6678821749839, last action : 3
finished episode 2900, last recorded reward: 2024.1568766496146, last action : 38
finished episode 3000, last recorded reward: 573.6678821749839, last action : 3
finished episode 3100, last recorded reward: 1105.351784222627, last action : 11
finished episode 3200, last recorded reward: 671.8511553865513, last action : 94
finished episode 3300, last recorded reward: 1621.3594441241823, last action : 18
finished episode 3400, last recorded reward: 1510.9041232070524, last action : 17
finished episode 3500, last recorded reward: 1995.4624390933345, last action : 42
finished episode 3600, last recorded reward: 671.8511553865513, last action : 84
finished episode 3700, last recorded reward: 584.4225018637936, last action : 7
finished episode 3800, last recorded reward: 671.8511553865513, last action : 73
finished episode 3900, last recorded reward: 671.8511553865513, last action : 88
finished episode 4000, last recorded reward: 743.7149316104513, last action : 8
finished episode 4100, last recorded reward: 1823.7859548508277, last action : 25
finished episode 4200, last recorded reward: 671.8511553865513, last action : 67
finished episode 4300, last recorded reward: 2203.074181295225, last action : 32
finished episode 4400, last recorded reward: 2098.1967345362873, last action : 35
finished episode 4500, last recorded reward: 671.8511553865513, last action : 72
finished episode 4600, last recorded reward: 671.8511553865513, last action : 98
finished episode 4700, last recorded reward: 1105.351784222627, last action : 11
finished episode 4800, last recorded reward: 2177.5102940064166, last action : 29
finished episode 4900, last recorded reward: 713.9706367166107, last action : 65
finished episode 5000, last recorded reward: 743.7149316104513, last action : 8
finished episode 5100, last recorded reward: 671.8511553865513, last action : 99
finished episode 5200, last recorded reward: 2817.5984543124614, last action : 46
finished episode 5300, last recorded reward: 2754.6548442515423, last action : 45
finished episode 5400, last recorded reward: 671.8511553865513, last action : 74
finished episode 5500, last recorded reward: 671.8511553865513, last action : 69
finished episode 5600, last recorded reward: 2024.1568766496146, last action : 38
finished episode 5700, last recorded reward: 671.8511553865513, last action : 96
finished episode 5800, last recorded reward: 671.8511553865513, last action : 92
finished episode 5900, last recorded reward: 671.8511553865513, last action : 73
finished episode 6000, last recorded reward: 671.8511553865513, last action : 87
finished episode 6100, last recorded reward: 671.8511553865513, last action : 73
finished episode 6200, last recorded reward: 671.8511553865513, last action : 69
finished episode 6300, last recorded reward: 671.8511553865513, last action : 83
finished episode 6400, last recorded reward: 671.8511553865513, last action : 96
finished episode 6500, last recorded reward: 671.8511553865513, last action : 88
finished episode 6600, last recorded reward: 671.8511553865513, last action : 90
finished episode 6700, last recorded reward: 671.8511553865513, last action : 89
finished episode 6800, last recorded reward: 671.8511553865513, last action : 98
finished episode 6900, last recorded reward: 671.8511553865513, last action : 97
finished episode 7000, last recorded reward: 671.8511553865513, last action : 97
finished episode 7100, last recorded reward: 671.8511553865513, last action : 95
finished episode 7200, last recorded reward: 671.8511553865513, last action : 97
finished episode 7300, last recorded reward: 671.8511553865513, last action : 96
finished episode 7400, last recorded reward: 671.8511553865513, last action : 75
finished episode 7500, last recorded reward: 671.8511553865513, last action : 97
finished episode 7600, last recorded reward: 671.8511553865513, last action : 85
finished episode 7700, last recorded reward: 671.8511553865513, last action : 90
finished episode 7800, last recorded reward: 671.8511553865513, last action : 96
finished episode 7900, last recorded reward: 671.8511553865513, last action : 93
finished episode 8000, last recorded reward: 671.8511553865513, last action : 97
finished episode 8100, last recorded reward: 671.8511553865513, last action : 98
finished episode 8200, last recorded reward: 671.8511553865513, last action : 93
finished episode 8300, last recorded reward: 671.8511553865513, last action : 78
finished episode 8400, last recorded reward: 671.8511553865513, last action : 93
finished episode 8500, last recorded reward: 671.8511553865513, last action : 95
finished episode 8600, last recorded reward: 671.8511553865513, last action : 91
finished episode 8700, last recorded reward: 671.8511553865513, last action : 86
finished episode 8800, last recorded reward: 671.8511553865513, last action : 93
finished episode 8900, last recorded reward: 671.8511553865513, last action : 96
finished episode 9000, last recorded reward: 671.8511553865513, last action : 87
finished episode 9100, last recorded reward: 671.8511553865513, last action : 97
finished episode 9200, last recorded reward: 671.8511553865513, last action : 88
finished episode 9300, last recorded reward: 671.8511553865513, last action : 98
finished episode 9400, last recorded reward: 671.8511553865513, last action : 87
finished episode 9500, last recorded reward: 671.8511553865513, last action : 83
finished episode 9600, last recorded reward: 671.8511553865513, last action : 93
finished episode 9700, last recorded reward: 671.8511553865513, last action : 94
finished episode 9800, last recorded reward: 671.8511553865513, last action : 94
finished episode 9900, last recorded reward: 671.8511553865513, last action : 71
finished episode 10000, last recorded reward: 671.8511553865513, last action : 94
finished episode 10100, last recorded reward: 671.8511553865513, last action : 82
finished episode 10200, last recorded reward: 671.8511553865513, last action : 89
finished episode 10300, last recorded reward: 671.8511553865513, last action : 79
finished episode 10400, last recorded reward: 671.8511553865513, last action : 96
finished episode 10500, last recorded reward: 1630.3287054792022, last action : 63
finished episode 10600, last recorded reward: 671.8511553865513, last action : 88
finished episode 10700, last recorded reward: 671.8511553865513, last action : 74
finished episode 10800, last recorded reward: 2815.7031235930936, last action : 60
finished episode 10900, last recorded reward: 4065.245216410933, last action : 54
finished episode 11000, last recorded reward: 671.8511553865513, last action : 93
finished episode 11100, last recorded reward: 671.8511553865513, last action : 98
finished episode 11200, last recorded reward: 671.8511553865513, last action : 97
finished episode 11300, last recorded reward: 4065.245216410933, last action : 54
finished episode 11400, last recorded reward: 2177.5102940064166, last action : 29
finished episode 11500, last recorded reward: 671.8511553865513, last action : 93
finished episode 11600, last recorded reward: 1095.5677574185336, last action : 14
finished episode 11700, last recorded reward: 713.9706367166107, last action : 65
finished episode 11800, last recorded reward: 671.8511553865513, last action : 91
finished episode 11900, last recorded reward: 671.8511553865513, last action : 99
finished episode 12000, last recorded reward: 671.8511553865513, last action : 92
finished episode 12100, last recorded reward: 671.8511553865513, last action : 85
finished episode 12200, last recorded reward: 3066.178417805794, last action : 59
finished episode 12300, last recorded reward: 743.7149316104513, last action : 8
finished episode 12400, last recorded reward: 1690.513732845791, last action : 19
finished episode 12500, last recorded reward: 2221.4767462242244, last action : 31
finished episode 12600, last recorded reward: 671.8511553865513, last action : 75
finished episode 12700, last recorded reward: 671.8511553865513, last action : 77
finished episode 12800, last recorded reward: 1134.42901785514, last action : 10
finished episode 12900, last recorded reward: 3798.9320058308876, last action : 56
finished episode 13000, last recorded reward: 1914.5593249497572, last action : 26
finished episode 13100, last recorded reward: 671.8511553865513, last action : 87
finished episode 13200, last recorded reward: 743.7149316104513, last action : 8
finished episode 13300, last recorded reward: 2829.2117675785976, last action : 48
finished episode 13400, last recorded reward: 1754.2314417902237, last action : 24
finished episode 13500, last recorded reward: 1134.42901785514, last action : 10
finished episode 13600, last recorded reward: 573.6678821749839, last action : 3
finished episode 13700, last recorded reward: 2067.2174904190188, last action : 36
finished episode 13800, last recorded reward: 1621.3594441241823, last action : 18
finished episode 13900, last recorded reward: 573.6678821749839, last action : 3
finished episode 14000, last recorded reward: 1105.351784222627, last action : 11
finished episode 14100, last recorded reward: 2177.5102940064166, last action : 29
finished episode 14200, last recorded reward: 1031.8234851855352, last action : 13
finished episode 14300, last recorded reward: 743.7149316104513, last action : 8
